leitura,segundo,minuto,intensidadeMinuto
0,391,7,False
0,391,7,False
1,392,7,False
0,392,7,False
0,392,7,False
1,393,7,False
1,393,7,False
1,393,7,False
1,394,7,False
0,394,7,False
0,394,7,False
0,395,7,False
0,395,7,False
1,395,7,False
0,396,7,False
0,396,7,False
0,396,7,False
0,397,7,False
0,397,7,False
0,397,7,False
0,398,7,False
0,398,7,False
0,398,7,False
0,399,7,False
1,399,7,False
0,399,7,False
1,400,7,False
1,400,7,False
0,400,7,False
1,401,7,False
0,401,7,False
0,401,7,False
0,402,7,False
0,402,7,False
0,402,7,False
0,403,7,False
0,403,7,False
1,403,7,False
0,404,7,False
0,404,7,False
0,404,7,False
0,405,7,False
1,405,7,False
0,405,7,False
0,406,7,False
0,406,7,False
1,406,7,False
0,407,7,False
0,407,7,False
0,407,7,False
0,408,7,False
0,408,7,False
1,408,7,False
0,409,7,False
0,409,7,False
0,409,7,False
1,410,7,False
0,410,7,False
0,410,7,False
0,411,7,False
1,411,7,False
1,411,7,False
0,412,7,False
0,412,7,False
0,412,7,False
0,413,7,False
0,413,7,False
0,413,7,False
0,414,7,False
0,414,7,False
1,414,7,False
0,415,7,False
0,415,7,False
0,415,7,False
0,416,7,False
0,416,7,False
0,416,7,False
1,417,7,False
0,417,7,False
0,417,7,False
0,418,7,False
0,418,7,False
0,418,7,False
1,419,7,False
1,419,7,False
0,419,7,False
0,420,7,False
0,420,7,False
0,420,7,False
0,421,8,False
0,421,8,False
0,421,8,False
0,422,8,False
0,422,8,False
0,422,8,False
0,423,8,False
0,423,8,False
1,423,8,False
0,424,8,False
0,424,8,False
1,424,8,False
0,425,8,False
0,425,8,False
0,425,8,False
0,426,8,False
1,426,8,False
0,426,8,False
0,427,8,False
0,427,8,False
1,427,8,False
0,428,8,False
0,428,8,False
1,428,8,False
1,429,8,False
0,429,8,False
0,429,8,False
1,430,8,False
0,430,8,False
1,430,8,False
1,431,8,False
1,431,8,False
0,431,8,False
0,432,8,False
0,432,8,False
0,432,8,False
0,433,8,False
1,433,8,False
1,433,8,False
1,434,8,False
0,434,8,False
0,434,8,False
0,435,8,False
0,435,8,False
0,435,8,False
0,436,8,False
0,436,8,False
0,436,8,False
0,437,8,False
1,437,8,False
0,437,8,False
0,438,8,False
1,438,8,False
1,438,8,False
0,439,8,False
0,439,8,False
0,439,8,False
0,440,8,False
0,440,8,False
0,440,8,False
0,441,8,False
0,441,8,False
0,441,8,False
0,442,8,False
0,442,8,False
0,442,8,False
0,443,8,False
1,443,8,False
1,443,8,False
0,444,8,False
0,444,8,False
0,444,8,False
0,445,8,False
1,445,8,False
1,445,8,False
0,446,8,False
1,446,8,False
0,446,8,False
0,447,8,False
0,447,8,False
1,447,8,False
1,448,8,False
0,448,8,False
1,448,8,False
1,449,8,False
0,449,8,False
0,449,8,False
0,450,8,False
1,450,8,False
0,450,8,False
0,451,8,False
0,451,8,False
1,451,8,False
0,452,8,False
0,452,8,False
0,452,8,False
0,453,8,False
0,453,8,False
0,453,8,False
0,454,8,False
0,454,8,False
0,454,8,False
0,455,8,False
0,455,8,False
0,455,8,False
0,456,8,False
0,456,8,False
0,456,8,False
0,457,8,False
0,457,8,False
0,457,8,False
0,458,8,False
0,458,8,False
0,458,8,False
0,459,8,False
1,459,8,False
0,459,8,False
0,460,8,False
0,460,8,False
0,460,8,False
0,461,8,False
0,461,8,False
0,461,8,False
1,462,8,False
1,462,8,False
0,462,8,False
0,463,8,False
0,463,8,False
1,463,8,False
1,464,8,False
0,464,8,False
0,464,8,False
0,465,8,False
0,465,8,False
0,465,8,False
0,466,8,False
0,466,8,False
1,466,8,False
0,467,8,False
1,467,8,False
1,467,8,False
1,468,8,False
1,468,8,False
0,468,8,False
1,469,8,False
0,469,8,False
1,469,8,False
1,470,8,False
0,470,8,False
0,470,8,False
0,471,8,False
0,471,8,False
0,471,8,False
1,472,8,False
0,472,8,False
1,472,8,False
0,473,8,False
0,473,8,False
0,473,8,False
0,474,8,False
0,474,8,False
0,474,8,False
0,475,8,False
