Id,leitura,segundo,minuto,intensidadeMinuto,local,combustivel
230,0,77,2,False,Banco do Motorista,Gasolina
231,0,78,2,False,Banco do Motorista,Gasolina
232,0,78,2,False,Banco do Motorista,Gasolina
233,0,78,2,False,Banco do Motorista,Gasolina
234,1,79,2,False,Banco do Motorista,Gasolina
235,1,79,2,False,Banco do Motorista,Gasolina
236,1,79,2,False,Banco do Motorista,Gasolina
237,1,80,2,False,Banco do Motorista,Gasolina
238,0,80,2,False,Banco do Motorista,Gasolina
239,0,80,2,False,Banco do Motorista,Gasolina
240,1,81,2,False,Banco do Motorista,Gasolina
241,0,81,2,False,Banco do Motorista,Gasolina
242,1,81,2,False,Banco do Motorista,Gasolina
243,0,82,2,False,Banco do Motorista,Gasolina
244,1,82,2,False,Banco do Motorista,Gasolina
245,0,82,2,False,Banco do Motorista,Gasolina
246,1,83,2,False,Banco do Motorista,Gasolina
247,1,83,2,False,Banco do Motorista,Gasolina
248,1,83,2,False,Banco do Motorista,Gasolina
249,1,84,2,False,Banco do Motorista,Gasolina
250,0,84,2,False,Banco do Motorista,Gasolina
251,0,84,2,False,Banco do Motorista,Gasolina
252,0,85,2,False,Banco do Motorista,Gasolina
253,0,85,2,False,Banco do Motorista,Gasolina
254,1,85,2,False,Banco do Motorista,Gasolina
255,0,86,2,False,Banco do Motorista,Gasolina
256,0,86,2,False,Banco do Motorista,Gasolina
257,1,86,2,False,Banco do Motorista,Gasolina
258,0,87,2,False,Banco do Motorista,Gasolina
259,0,87,2,False,Banco do Motorista,Gasolina
260,1,87,2,False,Banco do Motorista,Gasolina
261,1,88,2,False,Banco do Motorista,Gasolina
262,1,88,2,False,Banco do Motorista,Gasolina
263,0,88,2,False,Banco do Motorista,Gasolina
264,0,89,2,False,Banco do Motorista,Gasolina
265,0,89,2,False,Banco do Motorista,Gasolina
266,1,89,2,False,Banco do Motorista,Gasolina
267,0,90,2,False,Banco do Motorista,Gasolina
268,0,90,2,False,Banco do Motorista,Gasolina
269,1,90,2,False,Banco do Motorista,Gasolina
270,0,91,2,False,Banco do Motorista,Gasolina
271,0,91,2,False,Banco do Motorista,Gasolina
272,0,91,2,False,Banco do Motorista,Gasolina
273,0,92,2,False,Banco do Motorista,Gasolina
274,0,92,2,False,Banco do Motorista,Gasolina
275,1,92,2,False,Banco do Motorista,Gasolina
276,0,93,2,False,Banco do Motorista,Gasolina
277,0,93,2,False,Banco do Motorista,Gasolina
278,0,93,2,False,Banco do Motorista,Gasolina
279,1,94,2,False,Banco do Motorista,Gasolina
280,0,94,2,False,Banco do Motorista,Gasolina
281,1,94,2,False,Banco do Motorista,Gasolina
282,1,95,2,False,Banco do Motorista,Gasolina
283,0,95,2,False,Banco do Motorista,Gasolina
284,1,95,2,False,Banco do Motorista,Gasolina
285,0,96,2,False,Banco do Motorista,Gasolina
286,0,96,2,False,Banco do Motorista,Gasolina
287,0,96,2,False,Banco do Motorista,Gasolina
